Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: Regional, State and Local Organizations") And Edition (28)  LIMITS: Database ..."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,SIC Code,SIC Description,SIC Code - Industries Served,SIC Description - Industries Served,Year Founded,Number of Employees,Budget,Number of Members,Library Maintained,Awards Bestowed,Award Type,Publications Issued,Publication Type,Publication Frequency,Advertising Accepted,Conventions/Meetings Held,Conventions/Meeting Type,Exhibits,Subject Descriptor,Section Number,Section Heading,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"PIFJMK572234561","Gregg-Upshur County Medical Society","c/o Meredith Burks, Executive Secretary","PO Box 189","","","","White Oak, TX 75693 USA","White Oak","TX","75693","United States","903","(903)844-9594","","(903)844-9594","gucms@yahoo.com","http://www.gucms.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Medical","4; 08","South Central and Great Plains States; Health and Medical Organizations","Lewis A. Browne","","","",""
"MEZJGW393476084","Groesbeck Lions Club","PO Box 372","","","","","Groesbeck, TX 76642 USA","Groesbeck","TX","76642","United States","","","","","","http://e-clubhouse.org/sites/groesbeck","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Brody Burks","","","",""
"AITDFR961605645","Gruver Lions Club","c/o Bill Henson, President","PO Box 947","","","","Gruver, TX 79040 USA","Gruver","TX","79040","United States","806","(806)733-2424; (806)736-5038","","","","http://www.gruvertexas.com/lions.html","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Bill Henson","","","",""
"RGIRUK649278295","Guadalupe County Medical Society","c/o Alyson J. Kirchner, MD, President","1339 E Court St., Ste. 210","","","","Seguin, TX 78155-5846 USA","Seguin","TX","78155-5846","United States","830","(830)401-7558; (830)372-5588","","(830)401-7640","","http://www.texmed.org/cms","8621","Professional Organizations","","","","","","58","None Reported","None Reported","","None Reported","","","","None Reported","","","Medical","4; 08","South Central and Great Plains States; Health and Medical Organizations","Alyson J. Kirchner, MD","","","",""
"ZCPIHJ647767954","Guide Dogs of Texas (GDTx)","1503 Allena Dr.","","","","","San Antonio, TX 78213 USA","San Antonio","TX","78213","United States","210","(210)366-4081","800-831-9231","(210)366-4082","","http://guidedogsoftexas.org","8699","Membership Organizations Nec","","","1989","7","330000","","None Reported","None Reported","","None Reported","","","","None Reported","","","Dog","4; 08","South Central and Great Plains States; Health and Medical Organizations","Sandy Merrill","","","",""
"NHRQIU295688993","Gulf Coast Arabian Horse Club","12225 Kimberly Terr.","","","","","Conroe, TX 77304 USA","Conroe","TX","77304","United States","936","(936)441-5014","","","","http://www.gulfcoastarabians.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Horses","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Julie Reddings","","","",""
"LMVGYC298469957","Gulf Coast Association for Pupil Transportation (GCAPT)","c/o Frances Karcher, Secretary","27110 Geffert Wright Rd.","","","","Spring, TX 77386 USA","Spring","TX","77386","United States","832","(832)592-8857; (281)577-8680","","","","http://www.gcapt.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Transportation","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Frances Karcher","","","",""
"GMMCEX925327832","Gulf Coast Association for the Education of Young Children (GCAEYC)","PO Box 1064","","","","","La Marque, TX 77568-1064 USA","La Marque","TX","77568-1064","United States","281","(281)456-3677","","","gcaeyc@gcaeyc.org","http://www.gcaeyc.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Childhood Education","4; 05","South Central and Great Plains States; Educational Organizations","Terri Bledsoe","","","",""
"AQGMSF605633897","Gulf Coast Association of Geological Societies (GCAGS)","c/o University of Texas at Austin","Box X, University Sta.","","","","Austin, TX 78712 USA","Austin","TX","78712","United States","281","(281)679-7333; (361)884-8824","","","gcags@beq.utexas.edu","http://www.gcags.org","8699","Membership Organizations Nec","","","1951","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Geology","4; 04","South Central and Great Plains States; Engineering, Technological, and Natural and Social Sciences Organizations","Charles Sternbach","","","",""
"EMXWMP075272528","Gulf Coast Chapter of the National Railway Historical Society","7390 Mesa Rd.","","","","","Houston, TX 77001-0457 USA","Houston","TX","77001-0457","United States","713","(713)631-6612","","","","http://www.nrhs.com/chapters/gulf-coast","8699","Membership Organizations Nec","","","1967","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Railroads","4; 06","South Central and Great Plains States; Cultural Organizations","Jerry Dorcz","","","",""
"XZXJIJ056467015","Gulf Coast Medical Group Management Association","PO Box 59","","","","","Bellaire, TX 77402 USA","Bellaire","TX","77402","United States","713","(713)542-8978; (713)798-6345","","","","http://gulfcoastmgma.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Medical Administration","4; 08","South Central and Great Plains States; Health and Medical Organizations","John Lyle","","","",""
"LHLBNT061899072","Gulf Coast Paint Horse Club (GCPHC)","c/o Denise Armstrong, Director","13318 Telge Rd.","","","","Cypress, TX 77429 USA","Cypress","TX","77429","United States","","","","","","http://www.gcphc.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Horses","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Kevin Smith, President","","","",""
"VKNCZU515022389","Gulf Masters Swim Committee (GMSC)","c/o Mark Hahn, Treasurer","PO Box 573083","","","","Houston, TX 77257-3083 USA","Houston","TX","77257-3083","United States","281","(281)799-1011; (979)731-8454","","","gulfswim@gmail.com","http://www.gulfmastersswimming.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Swimming","4; 14","South Central and Great Plains States; Athletic and Sports Organizations","Mark Hahn","","","",""
"QHGGBO860597270","Habitat for Humanity Laredo - Webb County","4703 Warehouse Ln.","","","","","Laredo, TX 78041-5629 USA","Laredo","TX","78041-5629","United States","956","(956)724-3227","","","habitatlaredo@aol.com","http://www.habitatlaredo.org","8641","Civic and Social Associations","","","1995","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Housing","4; 07","South Central and Great Plains States; Social Welfare Organizations","Carol Serwood","","","",""
"GFBTTP626871652","Habitat for Humanity Northwest Harris County (NWHC)","13350 Jones Rd.","","","","","Houston, TX 77070 USA","Houston","TX","77070","United States","281","(281)477-0460","","(281)890-5760","","http://www.habitatnwhc.org","8641","Civic and Social Associations","","","1989","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Housing","4; 07","South Central and Great Plains States; Social Welfare Organizations","Rachael Wright","","","",""
"HETNNE157351556","Habitat for Humanity of Fannin County - Texas","PO Box 125","","","","","Bonham, TX 75418 USA","Bonham","TX","75418","United States","903","(903)449-9839","","(903)583-8534","fctxhabitat@gmail.com","http://www.habitat.org/local/affiliate?zip=75418%26amp;title=%26amp;area=TX%26amp;country=US%26amp;=Search","8641","Civic and Social Associations","","","2003","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Housing","4; 07","South Central and Great Plains States; Social Welfare Organizations","Chantal Carey","","","",""
"SCHTNF007681238","Habitat for Humanity of Navarro County","417 W Collin St.","","","","","Corsicana, TX 75110 USA","Corsicana","TX","75110","United States","","","","","hfhnavarro@gmail.com","http://www.navarrohabitat.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Housing","4; 07","South Central and Great Plains States; Social Welfare Organizations","Fr. Ed Monk","","","",""
"RMLHZC163003787","Habitat for Humanity of San Patricio County","PO Box 1114","","","","","Portland, TX 78374 USA","Portland","TX","78374","United States","361","(361)643-4224","","","chair@habitatsanpatricio.org","http://www.habitatsanpatricio.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Housing","4; 07","South Central and Great Plains States; Social Welfare Organizations","Sylvia Nugent","","","",""
"JZPNRM564072097","Hallettsville Chamber of Commerce","1614 N Texana St.","","","","","Hallettsville, TX 77964 USA","Hallettsville","TX","77964","United States","361","(361)798-2662","","(361)798-1553","visit@hallettsville.com","http://www.hallettsville.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Pam Dornak","","","",""
"MIVFXP676783795","Handbell Musicians of America - Area 9","1717 Broadway St.","","","","","Denton, TX 76201 USA","Denton","TX","76201","United States","940","(940)565-2860","","","chair.area9@handbellmusicians.org","http://www.area9.handbellmusicians.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Music","4; 06","South Central and Great Plains States; Cultural Organizations","Michelle Tejada","","","",""
"SNHAMW315782261","Handbell Musicians of America - South Texas","c/o Michelle Tejada, Chairperson","1105 Iris Crescent Dr.","","","","Floresville, TX 78114 USA","Floresville","TX","78114","United States","830","(830)393-7436","","","stexrep@areaix.org","http://area9.handbellmusicians.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Music","4; 06","South Central and Great Plains States; Cultural Organizations","Michelle Tejada","","","",""
"NCHXIM250989835","Hardin Lions Club","PO Box 206","","","","","Hardin, TX 77561-0518 USA","Hardin","TX","77561-0518","United States","936","(936)298-9423","","","","http://e-clubhouse.org/sites/hardintx","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Bonita Ardoin","","","",""
"ZXZCPL511430428","Harlingen Area Chamber of Commerce (HACC)","311 E Tyler Ave.","","","","","Harlingen, TX 78550-9121 USA","Harlingen","TX","78550-9121","United States","956","(956)423-5440","","(956)425-3870","thechamber@harlingen.com","http://harlingen.com","8611","Business Associations","","","","","","850","None Reported","None Reported","","None Reported","","","","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Frank Espinoza","","","",""
"UAJPHR239277652","Harmonica Organization of Texas - Amarillo","c/o Lonnie Boulware","3614 Wayne","","","","Amarillo, TX 79109-4352 USA","Amarillo","TX","79109-4352","United States","806","(806)353-3875","","","","http://www.hoottexas.com","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Music","4; 06","South Central and Great Plains States; Cultural Organizations","Rudene Wible","","","",""
"QYKZIR490606763","Harold's House - East Texas Alliance for Children","109 Temple Blvd.","","","","","Lufkin, TX 75901 USA","Lufkin","TX","75901","United States","936","(936)634-1999","","","info@haroldshouse.org","http://www.angelinaallianceforchildren.org","8699","Membership Organizations Nec","","","","5","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Children","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Debbie Brown","","","",""
"SGCFNU580462736","Harp and Shamrock Society of Texas","PO Box 15306","","","","","San Antonio, TX 78212 USA","San Antonio","TX","78212","United States","210","(210)829-3920","","","","http://www.harpandshamrock.org","8699","Membership Organizations Nec","","","1966","","","225","None Reported","None Reported","","None Reported","","","","None Reported","","","Ireland","4; 07","South Central and Great Plains States; Social Welfare Organizations","Terence Peak","","","",""
"HUAYGG634871671","Harris County Medical Society (HCMS)","1515 Hermann Dr.","","","","","Houston, TX 77004-7126 USA","Houston","TX","77004-7126","United States","713","(713)524-4267","","(713)526-1434","webadmin@hcms.org","http://www.hcms.org/home","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Medical","4; 08","South Central and Great Plains States; Health and Medical Organizations","William S. Gilmer, MD","","","",""
"HHTWQT855949009","Health Alliance for Austin Musicians (HAAM)","PO Box 301496","","","","","Austin, TX 78703 USA","Austin","TX","78703","United States","512","(512)322-5177","","","cschwarz@healthallianceforaustinmusicians.org","http://myhaam.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Health Services","4","South Central and Great Plains States","Carolyn Schwarz","","","",""
"ETPHDG025179297","Healthcare Financial Management Association - South Texas Chapter","1530 P B Ln., No. D1270","","","","","Wichita Falls, TX 76302-2612 USA","Wichita Falls","TX","76302-2612","United States","972","(972)765-7503","","","info@stxhfma.org","http://www.stxhfma.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Medical Administration","4; 08","South Central and Great Plains States; Health and Medical Organizations","Tammie L. Galindez","","","",""
"OCKCZQ767753760","Healthcare Financial Management Association - Texas Gulf Coast Chapter","1530 P B Ln., No. D1270","","","","","Wichita Falls, TX 76302-2612 USA","Wichita Falls","TX","76302-2612","United States","713","(713)504-4483","","","info@stxhfma.org","http://www.hfmatxgc.org","8621","Professional Organizations","","","1966","","","","None Reported","None Reported","","Yes","Newsletter","quarterly","Yes","None Reported","","","Medical Administration","4; 08","South Central and Great Plains States; Health and Medical Organizations","Pamela Potter","","","",""
"AGRSGX645224598","Hearing Loss Association of Fort Worth","2500 Lipscomb St.","","","","","Fort Worth, TX 76110 USA","Fort Worth","TX","76110","United States","","","","","","http://hearinglossfortworth.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Hearing Impaired","4; 08","South Central and Great Plains States; Health and Medical Organizations","Paulette Rook","","","",""
"AJYZXN753970800","Hearne Chamber of Commerce","304 S Market St.","","","","","Hearne, TX 77859 USA","Hearne","TX","77859","United States","979","(979)279-2351","","(979)279-2559","chamber@hearnetexas.info","http://www.hearnetexas.info","8611","Business Associations","","","1914","","","136","None Reported","None Reported","","None Reported","","","","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Brad Ely","","","",""
"CACHVO996044831","Heart of Texas Association for Pupil Transportation","c/o Elisha Lorenz, Secretary","1100 Industrial Park Blvd.","","","","Belton, TX 76513 USA","Belton","TX","76513","United States","254","(254)366-0700","","(254)215-2151","","http://www.heartoftexasapt.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Transportation","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Gary Elliott","","","",""
"WXSJMD996456175","Heart of Texas Chapter Society for Human Resource Management","PO Box 23162","","","","","Waco, TX 76702-3162 USA","Waco","TX","76702-3162","United States","254","(254)715-9717","","","hotshrm@gmail.com","http://www.shrmwaco.com","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Human Resources","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Kim West","","","",""
"PJUGUZ703084545","Heart of Texas Chorus (HOT)","PO Box 344","","","","","San Marcos, TX 78667 USA","San Marcos","TX","78667","United States","","","866-801-4238","","info@hotchorus.org","http://www.hotchorus.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Choirs; Music","4; 06","South Central and Great Plains States; Cultural Organizations","Paul Reavis","","","",""
"MCWNGE665131552","Heart of Texas Morgan Horse Club (HOTMHC)","c/o Susan Wernle, Membership Director","PO Box 56","","","","Saint Hedwig, TX 78152 USA","Saint Hedwig","TX","78152","United States","210","(210)789-9370","","","","http://www.hotmhc.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Horses","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Marcy Jordan","","","",""
"KEGMTS498260542","Heart of Texas Peace Corps Association (HoTPCA)","PO Box 1645","","","","","Austin, TX 78767 USA","Austin","TX","78767","United States","","","","","info@hotpca.org","http://www.hotpca.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Peace Corps","4; 09","South Central and Great Plains States; Public Affairs Organizations","Katherine Miller","","","",""
"FJVCHB175683277","Heart of Texas Romance Writers of America","PO Box 20412","","","","","Waco, TX 76712-0412 USA","Waco","TX","76712-0412","United States","","","","","","http://hotrwa.tripod.com","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Writers; Authors; Writing","4; 06","South Central and Great Plains States; Cultural Organizations","Jeanese Ranly","","","",""
"LRQVXS940377695","Hearts of Angels","PO Box 592077","","","","","San Antonio, TX 78259 USA","San Antonio","TX","78259","United States","210","(210)336-7285","","","dean.wideman@hearts-of-angels.org","http://www.hearts-of-angels.org","8641","Civic and Social Associations","","","2008","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Social Welfare","4","South Central and Great Plains States","Dean A. Wideman, MSc","","","",""
"TOOZZJ854342291","Hella Shriners","2121 Rowlett Rd.","","","","","Garland, TX 75043 USA","Garland","TX","75043","United States","972","(972)240-6624","","(972)240-6428","membership@hellashriners.org","http://hellashriners.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Child Health","4; 10","South Central and Great Plains States; Fraternal, Nationality, and Ethnic Organizations","Bob Mantle","","","",""
"VGEISX154202102","Helping Hand Foster Parent Association","359 County Road 126","","","","","Edna, TX 77957-5014 USA","Edna","TX","77957-5014","United States","361","(361)781-4466","","","","http://www.tffa.org/about/board/region08","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Parents","4; 07","South Central and Great Plains States; Social Welfare Organizations","Vanessa Buering","","","",""
"KAHMMF281534122","Hemophilia Outreach of El Paso","PO Box 641377","","","","","El Paso, TX 79904-8377 USA","El Paso","TX","79904-8377","United States","915","(915)859-6688","","(915)859-6688","4hemoelp@gmail.com","http://www.hemoelp.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Blood; Genetic Disorders","4; 08","South Central and Great Plains States; Health and Medical Organizations","Yolanda Ortiz","","","",""
"RIUQMR282738728","Henderson County Medical Society - Texas","c/o Curtis E. Grey, MD, President","115 Medical Cir. E, Ste. 100F","","","","Athens, TX 75751-9004 USA","Athens","TX","75751-9004","United States","903","(903)675-5741; (903)675-6778","","(903)675-5677","","http://www.texmed.org/cms","8621","Professional Organizations","","","","","","54","None Reported","None Reported","","None Reported","","","","None Reported","","","Medical","4; 08","South Central and Great Plains States; Health and Medical Organizations","Curtis E. Grey","","","",""
"IOLLWT249284018","Heritage Association of San Marcos (HASM)","PO Box 1806","","","","","San Marcos, TX 78667-1806 USA","San Marcos","TX","78667-1806","United States","","","","","info@heritagesanmarcos.org","http://www.heritagesanmarcos.org","8699","Membership Organizations Nec","7997","Membership Sports and Recreation Clubs","1977","","","650","None Reported","Yes","Recognition","Yes","","","","None Reported","","","Kite Flying","4; 14","South Central and Great Plains States; Athletic and Sports Organizations","Lee Festervan","","","",""
"AXAVGH945702401","Heroin Anonymous (Dallas, Texas)","5324 W Northwest Hwy., Rm. 2","","","","","Dallas, TX 75220 USA","Dallas","TX","75220","United States","","","","","esposey@verizon.net","http://heroinanonymousdallas.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Substance Abuse","4","South Central and Great Plains States","Ed P.","","","",""
"ZVRHUW409572039","Hidalgo County Homeless Coalition","c/o Yvette Balderas","PO Box 220","","","","McAllen, TX 78505 USA","McAllen","TX","78505","United States","956","(956)972-7240","","(956)972-7253","","http://nationalhomeless.org/references/directory/organization/Hidalgo+County+Homeless+Coalition/","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Homeless","4; 07","South Central and Great Plains States; Social Welfare Organizations","","","","",""
"XVRAAZ638259371","Hidalgo-Starr County Medical Society","c/o Victor H. Gonzales, MD, President","1309 E Ridge Rd., Ste. 1","","","","McAllen, TX 78503-1518 USA","McAllen","TX","78503-1518","United States","956","(956)631-8875; (956)686-2464","","(956)664-1090","","http://www.texmed.org/cms","8621","Professional Organizations","","","","","","548","None Reported","None Reported","","None Reported","","","","None Reported","","","Medical","4; 08","South Central and Great Plains States; Health and Medical Organizations","Victor H. Gonzales","","","",""
"HSCYKB891339469","High Plains Association of Crop Consultants","c/o Robert Glodt, Jr., Consultant","3136 Dimmitt Rd.","","","","Plainview, TX 79072 USA","Plainview","TX","79072","United States","806","(806)296-0506","","(806)296-2555","","http://www.txaac.org/_locator/high_plains.html","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Agribusiness","4; 02","South Central and Great Plains States; Environmental and Agricultural Organizations","Robert Glodt, Jr.","","","",""
"LILVZA379052229","High Plains Counseling Association (HPCA)","1204 San Antonio, Ste. 201","","","","","Austin, TX 78701 USA","Austin","TX","78701","United States","512","(512)472-3403","800-580-8144","(512)472-3756","","http://www.txca.org/tca/HPCA.asp","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Counseling","4; 07","South Central and Great Plains States; Social Welfare Organizations","Paula K. Abbott","","","",""
"AVIHWG143633839","High Twelve International - Texas","c/o Sam Green, Jr., President","231 Five Oaks Dr.","","","","San Antonio, TX 78209-2047 USA","San Antonio","TX","78209-2047","United States","210","(210)216-9749","","","","http://www.high12.org/page-1625495","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Masons","4; 10","South Central and Great Plains States; Fraternal, Nationality, and Ethnic Organizations","Sam Green, Jr.","","","",""
"YAXROL923498339","Hill Country Alliance (HCA)","15315 W Hwy. 71","","","","","Bee Cave, TX 78738 USA","Bee Cave","TX","78738","United States","512","(512)560-3135; (512)263-9147","","(512)263-3471","info@hillcountryalliance.org","http://www.hillcountryalliance.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Community Development","4","South Central and Great Plains States","Christy Muse","","","",""
"ZITEHP611592787","Hill Country Triumph Club (HCTC)","c/o Nel McPhail, Membership Chairperson","1105 N Canyonwood Dr.","","","","Dripping Springs, TX 78620 USA","Dripping Springs","TX","78620","United States","512","(512)740-9937","","","membership@hillcountrytriumphclub.org","http://www.hillcountrytriumphclub.org","8699","Membership Organizations Nec","7532","Top and Body Repair and Paint Shops","1990","7","","","None Reported","None Reported","","Yes","Newsletter","monthly","Yes","None Reported","","","Automobile","4; 13","South Central and Great Plains States; Hobby and Avocational Organizations","Emily Barrett","","","",""
"ESLUWC365519828","Hillsboro Lions Club - Texas","c/o Katharine Matthys, Secretary","160 N Powell Dr.","","","","Hubbard, TX 76648-2069 USA","Hubbard","TX","76648-2069","United States","254","(254)582-8585","","","","http://www.md2-x3.com","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Susan M. Russell","","","",""
"OGHIUS033625407","Hispanic American Police Command Officers Association - San Antonio Chapter","PO Box 831544","","","","","San Antonio, TX 78283-1544 USA","San Antonio","TX","78283-1544","United States","","","","","info@hapcoasa.com","http://www.hapcoasa.com","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Law Enforcement","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Lt. Don Tijerina","","","",""
"JUKVPZ662520386","Hispanic Bar Association of Houston","PO Box 3611","","","","","Houston, TX 77253-3611 USA","Houston","TX","77253-3611","United States","713","(713)469-4455","","","info@hisbahouston.com","http://www.hisbahouston.com","8621","Professional Organizations","","","1987","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Law; Legal; Hispanic","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Angela C. Garcia","","","",""
"MNGIEI581593128","Hockley County Medical Society","c/o Weerachai Wiri, MD, Vice President","116 John Dupree Dr., Ste. E","","","","Levelland, TX 79336-6300 USA","Levelland","TX","79336-6300","United States","806","(806)894-1514; (806)894-7900","","(806)894-1899","","http://www.texmed.org/cms","8621","Professional Organizations","","","","","","12","None Reported","None Reported","","None Reported","","","","None Reported","","","Medical","4; 08","South Central and Great Plains States; Health and Medical Organizations","Weerachai Wiri, MD","","","",""
"WLNXIL704430447","Home Builders Association of Greater Austin","8140 Exchange Dr.","","","","","Austin, TX 78754 USA","Austin","TX","78754","United States","512","(512)454-5588","","(512)454-5036","","http://www.hbaaustin.com","8611","Business Associations","","","1953","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Building Industries; Construction; Home","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Walter Elias","","","",""
"HNZKZV609918321","Home Builders Association of San Angelo (HBASA)","4172 S Jackson St.","","","","","San Angelo, TX 76903 USA","San Angelo","TX","76903","United States","325","(325)949-0140","","","","http://www.hbasa.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Building Industries; Housing; Home","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Michael Biggerstaff","","","",""
"VPEGSZ444651885","Home Builders Association of Southeast Texas (HBASET)","7770 Gladys Ave., Ste. B","","","","","Beaumont, TX 77706 USA","Beaumont","TX","77706","United States","409","(409)899-1001","","","basetx@aol.com","http://www.hbaset.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Building Industries; Housing; Construction","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Hope Cherie Hilz","","","",""
"TEQZAQ490322758","Hopkins-Franklin County Medical Society","c/o Scott R. McDearmont, MD, President","PO Box 1367","","","","Sulphur Springs, TX 75482 USA","Sulphur Springs","TX","75482","United States","903","(903)438-8330; (903)439-4917","","(903)438-2197","","http://www.texmed.org/cms","8621","Professional Organizations","","","","","","21","None Reported","None Reported","","None Reported","","","","None Reported","","","Medical","4; 08","South Central and Great Plains States; Health and Medical Organizations","Scott R. McDearmont","","","",""
"XWNGOX099037339","Horizon City Lions Club","c/o Donald L. Chittenden, Secretary","229 Duanesburg St.","","","","Horizon City, TX 79928 USA","Horizon City","TX","79928","United States","915","(915)852-0523","","","","http://www.myhorizoncity.com/html/main/org_display/orgID/816002666/index.html","8641","Civic and Social Associations","","","1967","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Donald L. Chittenden","","","",""
"QFCDAC572138181","Hospitality Financial and Technology Professionals - Greater Austin Chapter","c/o Laura Smith, President","Westwood Country Club","3808 W 35th St.","","","Austin, TX 78703-1064 USA","Austin","TX","78703-1064","United States","512","(512)610-0403","","","","http://www.hftp.org/chapters/my_chapter/main_template.cfm?showChapter=61","8611","Business Associations","","","1952","","","","None Reported","None Reported","","Yes","Newsletter","monthly","No","Yes","meetings","None Reported","Accounting","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","J. Dwayne Anderson, CHAE","","","",""
"WQVDXU312371173","Hotel and Lodging Association of Greater Houston (HLAGH)","PO Box 1043","","","","","Houston, TX 77251-1043 USA","Houston","TX","77251-1043","United States","713","(713)437-5250","","(713)223-0760","Director@HoustonHotels.org","http://www.houstonhotels.org","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Hospitality Industries","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Stephanie Haynes","","","",""
